Step    Time(ps)    SystemEnergy(eV)    KineticEnergy(eV)    PotentialEnergy(eV)    Temperature(K)
0         0.000     -25.820059558337     13.401676466748     -39.221736025085     120.000039726877
2         0.020     -24.007613680831     14.972212842598     -38.979826523429     134.062789858330
4         0.040     -22.170989327852     16.127474685079     -38.298464012931     144.407127548967
6         0.060     -20.474265515208     17.208841348247     -37.683106863455     154.089799926671
8         0.080     -19.756729253046     17.669272116855     -37.426001369901     158.212546111562
10        0.100     -18.500074927862     18.085241200837     -36.585316128699     161.937177632615
12        0.120     -17.681780529289     18.810074420130     -36.491854949418     168.427411546728
14        0.140     -17.772867951881     18.953579064826     -36.726447016707     169.712367433199
16        0.160     -17.056063083779     20.056817172654     -37.112880256433     179.590879057926
18        0.180     -16.282642019979     20.116854893271     -36.399496913250     180.128463208460
20        0.200     -16.065736821886     19.904262753843     -35.969999575729     178.224890529302
22        0.220     -15.552889153805     21.132720959159     -36.685610112964     189.224636255637
24        0.240     -15.375768172911     20.738233649188     -36.114001822099     185.692354829072
26        0.260     -14.919121277037     20.183496593641     -35.102617870679     180.725180097708
28        0.280     -14.277556094627     20.533822081682     -34.811378176309     183.862031862968
30        0.300     -14.048523268150     21.093929613914     -35.142452882065     188.877294415082
32        0.320     -14.052629505797     20.813251335958     -34.865880841755     186.364071193435
34        0.340     -14.095643375839     21.637483192618     -35.733126568457     193.744331102616
36        0.360     -13.355265221865     21.906485123833     -35.261750345698     196.153003070822
38        0.380     -12.862286096616     21.455041723454     -34.317327820071     192.110730739126
40        0.400     -12.718565377611     21.790593133989     -34.509158511600     195.115293839453
42        0.420     -12.404832773668     22.291531752391     -34.696364526059     199.600751629613
44        0.440     -12.697888206396     22.039960128102     -34.737848334498     197.348152487730
46        0.460     -12.842860358153     21.302526919729     -34.145387277882     190.745096928206
48        0.480     -13.224152018691     21.636375866167     -34.860527884858     193.734415983528
50        0.500     -12.386586071204     22.459664040920     -34.846250112124     201.106226064322
52        0.520     -12.164079579271     22.664247906389     -34.828327485660     202.938091804750
54        0.540     -12.122149838442     22.971444303090     -35.093594141532     205.688761088515
56        0.560     -11.786793533036     22.644684754433     -34.431478287469     202.762921256663
58        0.580     -11.338904496694     23.037246187972     -34.376150684666     206.277958180354
60        0.600     -11.715048052410     22.464227169851     -34.179275222261     201.147084807204
62        0.620     -11.562428532918     22.702045973723     -34.264474506641     203.276539729001
64        0.640     -12.175520202724     21.997115937572     -34.172636140296     196.964521038453
66        0.660     -12.599542295265     21.975229578027     -34.574771873291     196.768548241961
68        0.680     -12.186275534198     22.420651246369     -34.606926780567     200.756901343069
70        0.700     -11.618482539541     22.976965683270     -34.595448222812     205.738200115241
72        0.720     -11.998645881366     22.511166287788     -34.509812169154     201.567382673007
74        0.740     -11.891140760604     22.468838150531     -34.359978911135     201.188372019754
76        0.760     -11.992855557274     22.649853857396     -34.642709414670     202.809205955630
