Step    Time(ps)    SystemEnergy(eV)    KineticEnergy(eV)    PotentialEnergy(eV)    Temperature(K)
0         0.000     -25.820059558337     13.401676466748     -39.221736025085     120.000039726877
2         0.020     -24.015973464033     14.894095954211     -38.910069418244     133.363322912306
4         0.040     -21.231612639016     16.684345897942     -37.915958536959     149.393411752453
6         0.060     -19.073957093000     17.703881320146     -36.777838413145     158.522440607232
8         0.080     -17.297301923638     18.722446292489     -36.019748216126     167.642779950508
10        0.100     -15.985839351710     19.845860499756     -35.831699851465     177.701950520418
12        0.120     -15.060679046835     20.403927447130     -35.464606493965     182.698941458180
14        0.140     -14.286408177603     20.657096114640     -34.943504292243     184.965840695320
16        0.160     -13.690930009915     21.439090684056     -35.130020693971     191.967903431944
18        0.180     -13.389712105938     21.828519619795     -35.218231725733     195.454891636397
20        0.200     -13.130408381546     21.559936851913     -34.690345233459     193.049972901359
22        0.220     -12.842783551147     21.697516778157     -34.540300329304     194.281878227224
24        0.240     -12.596193496607     21.974067267481     -34.570260764088     196.758140789429
26        0.260     -12.468116124424     22.145067088215     -34.613183212639     198.289291413176
28        0.280     -12.416607639196     22.296572286013     -34.713179925209     199.645885104998
30        0.300     -12.380526276867     22.146923897764     -34.527450174631     198.305917483819
32        0.320     -12.319996175909     21.946588094830     -34.266584270739     196.512089348180
34        0.340     -12.132884142993     21.766299832507     -33.899183975501     194.897769028279
36        0.360     -11.839586009574     21.509729114935     -33.349315124509     192.600407472224
38        0.380     -11.573710707492     22.184972935751     -33.758683643243     198.646612626056
40        0.400     -11.558867010881     22.189626432242     -33.748493443124     198.688280529709
42        0.420     -11.486296057592     22.225339242097     -33.711635299689     199.008056836197
44        0.440     -11.462985000602     22.562988814604     -34.025973815207     202.031407102500
46        0.460     -11.574437445048     22.556988893110     -34.131426338157     201.977683165838
48        0.480     -11.654275101759     22.732368487401     -34.386643589161     203.548050748915
50        0.500     -11.849967841634     22.895627831594     -34.745595673228     205.009892320567
52        0.520     -12.047239602286     22.448184249627     -34.495423851913     201.003434789312
54        0.540     -12.061861644582     22.357766707665     -34.419628352247     200.193826479909
56        0.560     -12.062544363662     22.383650428697     -34.446194792359     200.425592077283
58        0.580     -12.054103915767     22.290168950414     -34.344272866181     199.588548955439
60        0.600     -11.980586233835     22.092406657660     -34.072992891495     197.817764304288
