Step    Time(ps)    SystemEnergy(eV)    KineticEnergy(eV)    PotentialEnergy(eV)    Temperature(K)
0         0.000     -30.770462526900     11.168060025022     -41.938522551923     100.000000000000
2         0.020     -30.317103292188     11.580708892374     -41.897812184562     103.694901947407
4         0.040     -29.664406842797     12.271105856290     -41.935512699087     109.876789959904
6         0.060     -29.264084100061     12.735686888278     -41.999770988338     114.036698045526
8         0.080     -29.029993078958     13.017779410209     -42.047772489167     116.562584558482
10        0.100     -28.893575292412     13.167143319786     -42.060718612198     117.900004927306
12        0.120     -28.808125071095     13.241315442764     -42.049440513859     118.564150023341
14        0.140     -28.748470924123     13.278423751552     -42.026894675675     118.896421776042
16        0.160     -28.700977983148     13.286835057161     -41.987813040309     118.971737503126
18        0.180     -28.653534164517     13.267478344883     -41.921012509400     118.798415437926
20        0.200     -28.596259771479     13.238861908908     -41.835121680387     118.542180819646
22        0.220     -28.529237335958     13.233300245450     -41.762537581407     118.492381092153
24        0.240     -28.464321456665     13.264803956493     -41.729125413158     118.774468679185
26        0.260     -28.415046369282     13.315463037432     -41.730509406714     119.228075490270
28        0.280     -28.385504782057     13.355940897407     -41.741445679464     119.590518563498
30        0.300     -28.369477910888     13.375438736894     -41.744916647782     119.765104296776
32        0.320     -28.360360659839     13.382425610809     -41.742786270648     119.827665510620
34        0.340     -28.352434117877     13.363101430231     -41.715535548108     119.654634737732
36        0.360     -28.331281250319     13.303798104841     -41.635079355160     119.123626440345
38        0.380     -28.284459918673     13.250079616168     -41.534539534841     118.642625366278
40        0.400     -28.222758576877     13.260522585362     -41.483281162240     118.736132825683
42        0.420     -28.172736985284     13.326386782396     -41.499123767679     119.325887867166
44        0.440     -28.150798400556     13.397669277349     -41.548467677905     119.964158925821
46        0.460     -28.154805333496     13.435040355791     -41.589845689287     120.298783546021
48        0.480     -28.167829736133     13.417175991933     -41.585005728066     120.138824127661
50        0.500     -28.168335835027     13.361908856300     -41.530244691327     119.643956303627
52        0.520     -28.146489148773     13.311657786444     -41.458146935217     119.194002867278
54        0.540     -28.107385116106     13.285159210718     -41.392544326824     118.956731795429
56        0.560     -28.059394891559     13.274091616817     -41.333486508376     118.857631379811
58        0.580     -28.008038562997     13.273046277250     -41.281084840248     118.848271297897
60        0.600     -27.957081822638     13.278936030624     -41.236017853262     118.901008777467
62        0.620     -27.908823847737     13.292887083622     -41.201710931358     119.025927993213
64        0.640     -27.868073727437     13.322980556382     -41.191054283819     119.295388156327
66        0.660     -27.840717594637     13.358086018393     -41.198803613030     119.609726205479
68        0.680     -27.825597751209     13.382029602255     -41.207627353463     119.824119607810
70        0.700     -27.819612449013     13.414317760376     -41.233930209388     120.113231217603
72        0.720     -27.830590899379     13.480677638325     -41.311268537704     120.707424638852
74        0.740     -27.871086660469     13.558509932126     -41.429596592594     121.404343294608
76        0.760     -27.940099681077     13.598785732223     -41.538885413301     121.764977102158
78        0.780     -28.018356907841     13.571714927135     -41.590071834977     121.522582227601
80        0.800     -28.078522670401     13.485818522627     -41.564341193028     120.753456664913
82        0.820     -28.100723015249     13.385809150214     -41.486532165463     119.857962083146
84        0.840     -28.086508178347     13.334748767656     -41.421256946003     119.400761974587
86        0.860     -28.060709751304     13.360877319879     -41.421587071182     119.634719816543
88        0.880     -28.051564886876     13.436067315883     -41.487632202759     120.307979056160
90        0.900     -28.074658180577     13.516159623052     -41.590817803630     121.025134112542
92        0.920     -28.126207110133     13.553490408586     -41.679697518719     121.359397945743
94        0.940     -28.185984039914     13.531571351180     -41.717555391094     121.163132369118
96        0.960     -28.232049673969     13.472092106457     -41.704141780427     120.630548871272
98        0.980     -28.253117414868     13.411434067648     -41.664551482516     120.087410325509
100       1.000     -28.252501964599     13.380578857258     -41.633080821857     119.811129482454
102       1.020     -28.243834344024     13.392308682259     -41.636143026284     119.916159585942
104       1.040     -28.244563337312     13.443877701994     -41.688441039306     120.377914085999
106       1.060     -28.268965682358     13.508362484582     -41.777328166940     120.955317703485
108       1.080     -28.316968001133     13.536825907032     -41.853793908165     121.210182222358
110       1.100     -28.369024512122     13.495007285008     -41.864031797130     120.835733822813
112       1.120     -28.396750799906     13.398328672517     -41.795079472423     119.970063220453
